"EC","AS000106","KNK","Kuankua","SEUK","-2.1484999656677246","-77.357002258300781","1200","12/30","3Black","Sand","597","20","0%","0"
"EC","AS000107","KUP","Kupit","SEKU","-2.6449999809265137","-77.224998474121094","900","07/25","3Dirt","500","20","0%","0"
"EC","AS000108","KUR","Kurinua","SEKV","-2.6956667900085449","-77.379165649414063","900","04/22","2Dirt","565","29","0%","0"
"EC","AS000109","KSK","Kusutka","SEKT","-2.0961666107177734","-77.641334533691406","2000","17/35","2Dirt/Grass","838","20","0%","0"
"EC","AS000110","KUS","Kusutkao","SEKB","-2.5128333568572998","-76.896331787109375","900","15/33","1Dirt","840","25","0%","0"
"EC","AS000111","LAT","Latacunga","SELT","-0.90683335065841675","-78.615837097167969","9191","18/36","1Asphalt","3700","46","1%","0"
"EC","AS000112","LIQ","Liquino","SELQ","-1.3335000276565552","-77.597999572753906","1500","04/22","2Dirt/Grass","650","38","0%","0"
"EC","AS000113","LOR","Lorocachi","SEOH","-1.6136666536331177","-75.986335754394531","900","03/21","2Gravel/Kilo","600","30","0%","0"
"EC","AS000114","MCS","Macas","SEMC","-2.2994999885559082","-78.120834350585937","3452","01/9","1Asphalt","2500","30","1%","0"
"EC","AS000115","MKI","Maki","SEMK","-2.753166675567627","-77.157997131347656","900","16/34","3Dirt","650","23","0%","0"
"EC","AS000116","MAM","Mamayak","SEMM","-2.0366666316986084","-77.7030029296875","1900","17/35","3Grass/Dirt","426","17","0%","0"
"EC","AS000117","MST","Mashientenza","SEHZ","-2.3641667366027832","-77.406669616699219","1200","12/30","3Dirt","450","18","0%","0"
"EC","AS000118","MSU","Mashuim","SEHN","-2.6166665554046631","-76.914337158203125","800","10/28","3Dirt","535","27","1%","0"
"EC","AS000119","MAS","Mashumarentza","SEMZ","-2.7574999332427979","-77.220169067382812","900","18/36","2Dirt","626","34","0%","0"
"EC","AS000120","MIA","Miasal","SEMW","-2.6206667423248291","-77.784835815429687","1250","01/19","2Grass","600","15","0%","0"
"EC","AS000121","MOL","Molino","SEIO","-1.8285000324249268","-77.320999145507813","1400","05/22","3Dirt","485","18","4%","0"
"EC","AS000122","MUI","Muitsentza","SEMU","-2.3543334007263184","-77.059829711914063","1000","14/32","2Dirt","523","29","0%","0"
"EC","AS000123","NAY","Nayantza","SENY","-2.8648333549499512","-77.486000061035156","870","09/27","2Grass/Dirt","600","32","0%","0"
"EC","AS000124","NEM","Nemompade","SEND","-1.2358332872390747","-77.259162902832031","1100","06/24","DDirt","460","11","0%","0"
"EC","AS000125","LAG","Nueva","Loja","SENL","0.10000000149011612","-76.883331298828125","980","05/23","1Asphalt","2300","45","0%","0"
"EC","AS000126","NCR","Nuevo","Corrientes","SENE","-1.997333288192749","-76.765663146972656","1000","11/29","3Grass","480","15","0%","0"
"EC","AS000127","NSS","Nuevo","Sasaim","SEIF","-2.2613332271575928","-77.33233642578125","1100","14/32","3Dirt","570","30","0%","0"
"EC","AS000128","NUM","Numbaimi","SENU","-2.244999885559082","-77.219833374023438","1100","12/30","2Black","Sand","910","30","0%","0"
"EC","AS000129","NUP","Numpatkaim","SEUP","-3.2841665744781494","-78.237998962402344","3150","01/19","3Grass","433","15","4%","0"
"EC","AS000130","NUN","Nunkui","SENK","-2.6340000629425049","-77.429000854492188","800","16.34","2Dirt","600","15","0%","0"
"EC","AS000132","PAC","Pacayacu","SEPY","-1.6496666669845581","-77.597663879394531","1350","14/32","3Grass/Dirt","480","11","0%","0"
"EC","AS000133","PKZ","Pakintza","SEPK","-2.3221666812896729","-77.276496887207031","1100","17/35","2Dirt","618","30","0%","0"
"EC","AS000134","PAM","Pampantza","SEZA","-2.5523333549499512","-77.442497253417969","800","03/21","2Grass","700","20","0%","0"
"EC","AS000136","PAT","Patintza","SETQ","-2.5221667289733887","-77.526496887207031","1000","07/25","3Sand","with","fine","grass412","15","0%","0"
"EC","AS000137","PTC","Patuca","SEPC","-2.752000093460083","-78.259330749511719","1780","02/20","2Asphalt","1900","20","0%","0"
"EC","AS000138","PTK","Patukmai","SEUX","-2.4791667461395264","-77.200996398925781","900","18/36","2Dirt","1100","20","0%","0"
"EC","AS000139","PVC","Pavacachi","SEVA","-1.5724999904632568","-76.350669860839844","850","06/24","2Dirt/Gravel","650","25","0%","0"
"EC","AS000140","PIM","Pimpintza","SEIX","-2.2750000953674316","-77.469329833984375","1450","10/28","2Dirt","700","15","2%","0"
"EC","AS000141","PIN","Pindoyacu","SEPI","-1.7310000658035278","-76.607002258300781","900","04/22","3Grass","460","20","0%","0"
"EC","AS000142","PTR","Pitiur","SEIU","-2.252000093460083","-77.401664733886719","1250","13/31","3Dirt","500","18","0%","0"
"EC","AS000143","PIW","Piwiri","SEPW","-1.503000020980835","-77.325332641601563","1200","10/28","3Grass/River","Stone","480","20","0%","0"
"EC","AS000144","PUC","Pucar","SEUR","-2.7886667251586914","-77.647834777832031","800","05/23","3Dirt","400","15","0%","0"
"EC","AS000145","PUK","Pukuan","SEDP","-2.1010000705718994","-77.157501220703125","1200","12/30","2Grass","500","14","0%","0"
"EC","AS000146","PUM","Pumpuentza","SEUE","-2.4751665592193604","-77.332496643066406","900","16/34","1Dirt","750","25","0%","0"
"EC","AS000147","PUT","Putuimi","SEUU","-2.6418333053588867","-77.483001708984375","1150","14/32","3Grass","540","17","0%","0"
"EC","AS000148","PTN","Putunz","SEUN","-2.5973334312438965","-77.421669006347656","1000","06/24","3Grass","560","20","1%","0"
"EC","AS000149","QWE","Quehueriono","SEQH","-1.0199999809265137","-77.166336059570313","1000","10/28","3Dirt/Grass","600","22","0%","0"
"EC","AS000150","QNO","Quenahueno","SEQN","-1.2419999837875366","-77.414337158203125","1200","06/24","3Grass","470","14","0%","0"
"EC","AS000151","UIO","Quito","SEQM","-0.12416666001081467","-78.354331970214844","7910","18/36","1Asphalt","4098","45","1.2%","0"
"EC","AS000152","QWD","Quiwado","SEQW","-1.2771666049957275","-77.202667236328125","1050","09/27","2Grass","495","19","1%","0"
"EC","AS000153","RIO","Riobamba","SERB","-1.6536667346954346","-78.656997680664063","9146","05/23","1Oiled","Gravel","1600","29","0%","0"
"EC","AS000156","SJN","San","Juan","SEJU","-2.0896666049957275","-77.508163452148438","1500","12/30","3Fine","Sand","610","20","0%","0"
"EC","AS000157","SLZ","San","Lorenzo","SESL","1.2648333311080933","-78.797164916992188","128","12/30","2Gravel/Grass","1200","20","0%","0"
"EC","AS000158","SMR","San","Marcos","SESW","-2.3888332843780518","-77.509002685546875","1500","17/35","3Concret","500","19","2%","0"
"EC","AS000159","STR","Santa","Rosa","(Oriente)","SERW","-2.2128334045410156","-77.572830200195312","2000","18/36","3Dirt","420","18","0%","0"
"EC","AS000160","SAN","Santiago","SEIG","-3.0494999885559082","-78.010002136230469","1200","11/29","2Paved","798","13","0%","0"
"EC","AS000161","SRA","Santa","Rosa","(Costa)","SERO","-3.4363334178924561","-79.985000610351563","22","07/25","1Asphalt","2470","45","0%","0"
"EC","AS000162","SDM","Santo","Domingo","SESD","-0.24799999594688416","-79.209999084472656","1827","11/29","1Asphalt","1051","23","1.5%","0"
"EC","AS000163","TZA","Sapapentsa","SEZE","-2.8289999961853027","-77.366165161132812","800","06/24","1Dirt","930","29","0%","0"
"EC","AS000164","SAU","Saum","SEUM","-2.6930000782012939","-77.08782958984375","1000","16/34","3Dirt","595","25","0%","0"
"EC","AS000165","SEB","Sebastian","SEZX","-2.6421666145324707","-77.156333923339844","900","12/30","2Dirt","610","30","0%","0"
"EC","AS000166","SET","Setuch","SEEU","-2.7936666011810303","-77.284500122070313","900","11/29","2Dirt","650","15","0%","0"
"EC","AS000167","SHK","Shinkiatam","SEKX","-2.4658334255218506","-77.460502624511719","1000","17/35","2Dirt","580","20","0%","0"
"EC","AS000169","SHI","Shiramentza","SEEZ","-2.75083327293396","-77.55633544921875","1000","13/31","2Dirt","750","30","0%","0"
"EC","AS000170","SHU","Shuwinmamus","SEHW","-2.4643332958221436","-77.041664123535156","950","16/34","3Dirt","730","30","0%","0"
"EC","AS000171","SUR","Surikentza","SEZR","-2.5994999408721924","-77.089836120605469","1100","18/36","2Dirt/Grass","710","30","0%","0"
"EC","AS000172","TAI","Taisha","SETH","-2.379833459854126","-77.503829956054688","1500","17/35","1Grass/Gravel","1100","20","0%","0"
"EC","AS000173","TAM","Tamantza","SEZM","-2.1570000648498535","-77.614669799804688","2200","14/32","2Grass","530","12","0%","0"
"EC","AS000174","TAR","Tarangaro","SEGT","-1.4005000591278076","-77.383003234863281","1200","08/26","3Grass","473","15","1%","0"
"EC","AS000175","TRP","Tarapoa","SETR","-0.1185000017285347","-76.33416748046875","815","12/30","1Paved","1690","15","1,5%","0"
"EC","AS000176","TAY","Tayuntza","SETY","-2.7170000076293945","-77.890663146972656","1700","04/22","2Dirt","550","17","0%","0"
"EC","AS000177","TIN","Tinchi","SETJ","-2.1053333282470703","-77.520332336425781","1850","11/29","2Dirt","500","24","0%","0"
"EC","AS000178","TIK","Tinkimintz","SETK","-3.255000114440918","-78.225997924804687","3000","01/19","3Grass/Dirt","400","12","2%","0"
"EC","AS000179","TIT","Tintiukentza","SEZT","-2.5196666717529297","-77.394332885742187","1000","03/21","2Dirt","540","25","0%","0"
"EC","AS000180","TSE","Tsentsakentza","SETS","-2.5566666126251221","-77.734832763671875","900","17/35","2Grass","503","20","0%","0"
"EC","AS000181","TSN","Tsunkintza","SESK","-2.6621665954589844","-77.111167907714844","900","17/35","3Dirt","555","26","0%","0"
"EC","AS000182","TUC","Tucupi","SETC","-2.7860000133514404","-77.479835510253906","1000","03/21","2Dirt","700","20","0%","0"
"EC","AS000183","TUM","Tumbaim","SETP","-2.7120001316070557","-77.91583251953125","1750","14/32","3Grass","710","20","2%","0"
"EC","AS000184","TKR","Tunikram","SERK","-2.6334998607635498","-76.81500244140625","1000","09/27","3Dirt","520","25","0%","0"
"EC","AS000185","TUT","Tutinentza","SENW","-2.5496666431427002","-77.472335815429687","1000","02/20","1Dirt","900","40","0%","0"
"EC","AS000186","UNS","Unswantz","SEUW","-2.5563333034515381","-77.899002075195313","2000","17/35","3Dirt","460","15","2%","0"
"EC","AS000187","VIL","Villano","SEVI","-1.4980000257492065","-77.4739990234375","1250","06/24","1Grass/Gravel","1100","25","0%","0"
"EC","AS000188","WAC","Wachirpas","SEWA","-2.5711667537689209","-76.805496215820313","850","07/25","2Dirt","800","25","0%","0"
"EC","AS000189","WAM","Wampuik","SEWP","-2.6136667728424072","-77.024002075195312","900","16/34","1Dirt","796","30","0%","0"
"EC","AS000190","WAR","Warientza","SEWR","-3.1688332557678223","-78.259162902832031","2900","06/24","3Gravel","570","16","4%","0"
"EC","AS000191","WAU","Waruintza","SEWT","-2.6108334064483643","-77.181503295898438","900","09/27","3Dirt","420","25","0%","0"
"EC","AS000192","WAK","Wasakentza","SEWS","-2.5450000762939453","-77.198333740234375","1000","13/31","2Dirt","700","25","0%","0"
"EC","AS000194","WSR","Wasurak","SEWK","-2.5771667957305908","-77.346168518066406","900","02/20","3Dirt","500","25","0%","0"
"EC","AS000195","WEN","Wentado","SEWE","-1.0234999656677246","-77.221000671386719","1150","10/28","3Grass","433","15","0%","0"
"EC","AS000196","WIC","Wichimi","SEWI","-2.7428333759307861","-77.370498657226563","800","06/24","2Dirt","562","20","0%","0"
"EC","AS000197","WIS","Wisui","SEWU","-2.1136667728424072","-77.738502502441406","2300","04/22","3Grass","420","20","0%","0"
"EC","AS000198","WSN","Wisui","Norte","SEWN","-2.0871667861938477","-77.491668701171875","1500","09/27","3Fine","Sand","510","25","0%","0"
"EC","AS000199","YAP","Yaapi","SEYP","-2.8246667385101318","-77.929336547851562","1250","15/33","3Grass","570","16","0%","0"
"EC","AS000200","YAM","Yampuna","SEYM","-2.126833438873291","-77.513664245605469","1500","13/31","3Dirt","550","15","0%","0"
"EC","AS000201","YAN","Yanayaku","SEYN","-1.9544999599456787","-76.101669311523438","800","06/24","3Grass/Dirt","474","18","0%","0"
